"Site","Species","Abundance"
10,"Abarema.macradenia",1
28,"Vachellia.melanoceras",2
32,"Vachellia.melanoceras",1
34,"Acalypha.diversifolia",1
40,"Acalypha.diversifolia",1
28,"Acalypha.macrostachya",1
4,"Adelia.triloba",3
5,"Adelia.triloba",1
9,"Adelia.triloba",5
12,"Adelia.triloba",1
13,"Adelia.triloba",1
15,"Adelia.triloba",2
16,"Adelia.triloba",2
18,"Adelia.triloba",1
22,"Adelia.triloba",1
24,"Adelia.triloba",2
27,"Adelia.triloba",1
29,"Adelia.triloba",1
30,"Adelia.triloba",14
31,"Adelia.triloba",5
32,"Adelia.triloba",7
33,"Adelia.triloba",3
34,"Adelia.triloba",3
35,"Adelia.triloba",6
36,"Adelia.triloba",1
37,"Adelia.triloba",2
38,"Adelia.triloba",6
39,"Adelia.triloba",9
40,"Adelia.triloba",7
44,"Adelia.triloba",4
47,"Adelia.triloba",2
48,"Adelia.triloba",1
50,"Adelia.triloba",1
5,"Aegiphila.panamensis",1
7,"Aegiphila.panamensis",1
10,"Aegiphila.panamensis",1
12,"Aegiphila.panamensis",1
13,"Aegiphila.panamensis",1
17,"Aegiphila.panamensis",1
18,"Aegiphila.panamensis",1
19,"Aegiphila.panamensis",1
20,"Aegiphila.panamensis",2
21,"Aegiphila.panamensis",1
24,"Aegiphila.panamensis",1
25,"Aegiphila.panamensis",1
27,"Aegiphila.panamensis",4
28,"Aegiphila.panamensis",1
30,"Aegiphila.panamensis",2
33,"Aegiphila.panamensis",1
41,"Aegiphila.panamensis",1
43,"Aegiphila.panamensis",1
1,"Alchornea.costaricensis",2
2,"Alchornea.costaricensis",1
3,"Alchornea.costaricensis",2
4,"Alchornea.costaricensis",18
5,"Alchornea.costaricensis",3
6,"Alchornea.costaricensis",2
8,"Alchornea.costaricensis",2
9,"Alchornea.costaricensis",2
10,"Alchornea.costaricensis",2
11,"Alchornea.costaricensis",10
12,"Alchornea.costaricensis",3
13,"Alchornea.costaricensis",1
14,"Alchornea.costaricensis",4
15,"Alchornea.costaricensis",2
16,"Alchornea.costaricensis",2
17,"Alchornea.costaricensis",2
19,"Alchornea.costaricensis",1
20,"Alchornea.costaricensis",2
21,"Alchornea.costaricensis",2
22,"Alchornea.costaricensis",4
23,"Alchornea.costaricensis",1
25,"Alchornea.costaricensis",2
26,"Alchornea.costaricensis",3
27,"Alchornea.costaricensis",3
28,"Alchornea.costaricensis",2
29,"Alchornea.costaricensis",1
30,"Alchornea.costaricensis",6
31,"Alchornea.costaricensis",4
32,"Alchornea.costaricensis",6
33,"Alchornea.costaricensis",3
34,"Alchornea.costaricensis",5
35,"Alchornea.costaricensis",8
36,"Alchornea.costaricensis",3
37,"Alchornea.costaricensis",4
38,"Alchornea.costaricensis",2
39,"Alchornea.costaricensis",3
40,"Alchornea.costaricensis",3
41,"Alchornea.costaricensis",11
43,"Alchornea.costaricensis",3
44,"Alchornea.costaricensis",4
47,"Alchornea.costaricensis",1
48,"Alchornea.costaricensis",3
49,"Alchornea.costaricensis",6
50,"Alchornea.costaricensis",2
6,"Alchornea.latifolia",1
13,"Alibertia.edulis",1
5,"Allophylus.psilospermus",1
12,"Allophylus.psilospermus",2
13,"Allophylus.psilospermus",1
16,"Allophylus.psilospermus",3
17,"Allophylus.psilospermus",2
19,"Allophylus.psilospermus",1
21,"Allophylus.psilospermus",1
22,"Allophylus.psilospermus",4
24,"Allophylus.psilospermus",1
27,"Allophylus.psilospermus",3
33,"Allophylus.psilospermus",1
38,"Allophylus.psilospermus",1
39,"Allophylus.psilospermus",1
40,"Allophylus.psilospermus",1
47,"Allophylus.psilospermus",1
48,"Allophylus.psilospermus",1
49,"Allophylus.psilospermus",1
50,"Allophylus.psilospermus",1
1,"Alseis.blackiana",25
2,"Alseis.blackiana",26
3,"Alseis.blackiana",18
4,"Alseis.blackiana",23
5,"Alseis.blackiana",16
6,"Alseis.blackiana",14
7,"Alseis.blackiana",18
8,"Alseis.blackiana",14
9,"Alseis.blackiana",16
10,"Alseis.blackiana",14
11,"Alseis.blackiana",14
12,"Alseis.blackiana",19
13,"Alseis.blackiana",8
14,"Alseis.blackiana",17
15,"Alseis.blackiana",15
16,"Alseis.blackiana",25
17,"Alseis.blackiana",31
18,"Alseis.blackiana",7
19,"Alseis.blackiana",13
20,"Alseis.blackiana",10
21,"Alseis.blackiana",12
22,"Alseis.blackiana",22
23,"Alseis.blackiana",5
24,"Alseis.blackiana",14
25,"Alseis.blackiana",20
26,"Alseis.blackiana",7
27,"Alseis.blackiana",17
28,"Alseis.blackiana",16
29,"Alseis.blackiana",15
30,"Alseis.blackiana",36
31,"Alseis.blackiana",11
32,"Alseis.blackiana",21
33,"Alseis.blackiana",24
34,"Alseis.blackiana",42
35,"Alseis.blackiana",93
36,"Alseis.blackiana",8
37,"Alseis.blackiana",19
38,"Alseis.blackiana",25
39,"Alseis.blackiana",38
40,"Alseis.blackiana",65
41,"Alseis.blackiana",13
42,"Alseis.blackiana",13
43,"Alseis.blackiana",8
44,"Alseis.blackiana",13
45,"Alseis.blackiana",10
46,"Alseis.blackiana",29
47,"Alseis.blackiana",17
48,"Alseis.blackiana",12
49,"Alseis.blackiana",6
50,"Alseis.blackiana",9
46,"Amaioua.corymbosa",2
49,"Amaioua.corymbosa",1
8,"Anacardium.excelsum",1
11,"Anacardium.excelsum",1
18,"Anacardium.excelsum",2
21,"Anacardium.excelsum",2
23,"Anacardium.excelsum",2
24,"Anacardium.excelsum",1
25,"Anacardium.excelsum",1
28,"Anacardium.excelsum",2
40,"Anacardium.excelsum",2
41,"Anacardium.excelsum",2
48,"Anacardium.excelsum",3
49,"Anacardium.excelsum",1
50,"Anacardium.excelsum",2
5,"Andira.inermis",1
6,"Andira.inermis",1
9,"Andira.inermis",1
11,"Andira.inermis",1
14,"Andira.inermis",1
19,"Andira.inermis",2
22,"Andira.inermis",1
23,"Andira.inermis",1
24,"Andira.inermis",2
26,"Andira.inermis",2
28,"Andira.inermis",1
29,"Andira.inermis",1
30,"Andira.inermis",2
33,"Andira.inermis",2
34,"Andira.inermis",1
41,"Andira.inermis",1
42,"Andira.inermis",1
43,"Andira.inermis",2
48,"Andira.inermis",1
49,"Andira.inermis",2
50,"Andira.inermis",1
1,"Annona.spraguei",1
3,"Annona.spraguei",1
8,"Annona.spraguei",1
9,"Annona.spraguei",1
13,"Annona.spraguei",3
14,"Annona.spraguei",4
15,"Annona.spraguei",2
17,"Annona.spraguei",1
18,"Annona.spraguei",2
19,"Annona.spraguei",1
20,"Annona.spraguei",2
36,"Annona.spraguei",1
38,"Annona.spraguei",1
46,"Annona.spraguei",3
47,"Annona.spraguei",1
48,"Annona.spraguei",2
1,"Apeiba.glabra",13
2,"Apeiba.glabra",12
3,"Apeiba.glabra",6
4,"Apeiba.glabra",3
5,"Apeiba.glabra",4
6,"Apeiba.glabra",10
7,"Apeiba.glabra",5
8,"Apeiba.glabra",4
9,"Apeiba.glabra",5
10,"Apeiba.glabra",5
11,"Apeiba.glabra",2
12,"Apeiba.glabra",4
13,"Apeiba.glabra",1
14,"Apeiba.glabra",5
15,"Apeiba.glabra",8
16,"Apeiba.glabra",5
17,"Apeiba.glabra",1
18,"Apeiba.glabra",1
19,"Apeiba.glabra",13
20,"Apeiba.glabra",6
21,"Apeiba.glabra",2
22,"Apeiba.glabra",7
23,"Apeiba.glabra",3
24,"Apeiba.glabra",6
25,"Apeiba.glabra",6
26,"Apeiba.glabra",4
27,"Apeiba.glabra",2
28,"Apeiba.glabra",6
29,"Apeiba.glabra",5
30,"Apeiba.glabra",5
31,"Apeiba.glabra",5
32,"Apeiba.glabra",4
33,"Apeiba.glabra",8
34,"Apeiba.glabra",3
35,"Apeiba.glabra",5
36,"Apeiba.glabra",3
37,"Apeiba.glabra",4
38,"Apeiba.glabra",1
39,"Apeiba.glabra",3
40,"Apeiba.glabra",7
41,"Apeiba.glabra",2
42,"Apeiba.glabra",5
43,"Apeiba.glabra",2
44,"Apeiba.glabra",7
45,"Apeiba.glabra",1
47,"Apeiba.glabra",8
48,"Apeiba.glabra",2
49,"Apeiba.glabra",4
50,"Apeiba.glabra",3
1,"Apeiba.tibourbou",2
3,"Apeiba.tibourbou",1
4,"Apeiba.tibourbou",1
8,"Apeiba.tibourbou",1
13,"Apeiba.tibourbou",1
14,"Apeiba.tibourbou",1
18,"Apeiba.tibourbou",1
19,"Apeiba.tibourbou",1
20,"Apeiba.tibourbou",1
26,"Apeiba.tibourbou",1
30,"Apeiba.tibourbou",1
33,"Apeiba.tibourbou",1
34,"Apeiba.tibourbou",1
35,"Apeiba.tibourbou",1
42,"Apeiba.tibourbou",1
46,"Apeiba.tibourbou",3
47,"Apeiba.tibourbou",1
50,"Apeiba.tibourbou",1
4,"Aspidosperma.desmanthum",1
5,"Aspidosperma.desmanthum",1
6,"Aspidosperma.desmanthum",1
10,"Aspidosperma.desmanthum",1
14,"Aspidosperma.desmanthum",1
17,"Aspidosperma.desmanthum",1
21,"Aspidosperma.desmanthum",2
25,"Aspidosperma.desmanthum",3
28,"Aspidosperma.desmanthum",2
29,"Aspidosperma.desmanthum",2
32,"Aspidosperma.desmanthum",1
33,"Aspidosperma.desmanthum",3
34,"Aspidosperma.desmanthum",3
36,"Aspidosperma.desmanthum",3
37,"Aspidosperma.desmanthum",1
38,"Aspidosperma.desmanthum",3
39,"Aspidosperma.desmanthum",5
40,"Aspidosperma.desmanthum",3
42,"Aspidosperma.desmanthum",2
43,"Aspidosperma.desmanthum",3
44,"Aspidosperma.desmanthum",2
46,"Aspidosperma.desmanthum",1
47,"Aspidosperma.desmanthum",2
48,"Aspidosperma.desmanthum",2
49,"Aspidosperma.desmanthum",1
50,"Aspidosperma.desmanthum",2
2,"Astrocaryum.standleyanum",2
3,"Astrocaryum.standleyanum",1
4,"Astrocaryum.standleyanum",5
5,"Astrocaryum.standleyanum",6
6,"Astrocaryum.standleyanum",2
7,"Astrocaryum.standleyanum",2
9,"Astrocaryum.standleyanum",2
10,"Astrocaryum.standleyanum",1
11,"Astrocaryum.standleyanum",3
12,"Astrocaryum.standleyanum",1
13,"Astrocaryum.standleyanum",12
14,"Astrocaryum.standleyanum",5
16,"Astrocaryum.standleyanum",5
17,"Astrocaryum.standleyanum",1
18,"Astrocaryum.standleyanum",6
19,"Astrocaryum.standleyanum",2
21,"Astrocaryum.standleyanum",3
22,"Astrocaryum.standleyanum",8
23,"Astrocaryum.standleyanum",17
24,"Astrocaryum.standleyanum",7
25,"Astrocaryum.standleyanum",13
26,"Astrocaryum.standleyanum",4
27,"Astrocaryum.standleyanum",5
28,"Astrocaryum.standleyanum",4
29,"Astrocaryum.standleyanum",1
30,"Astrocaryum.standleyanum",1
31,"Astrocaryum.standleyanum",3
32,"Astrocaryum.standleyanum",4
33,"Astrocaryum.standleyanum",10
34,"Astrocaryum.standleyanum",3
35,"Astrocaryum.standleyanum",3
36,"Astrocaryum.standleyanum",2
37,"Astrocaryum.standleyanum",2
38,"Astrocaryum.standleyanum",1
39,"Astrocaryum.standleyanum",1
40,"Astrocaryum.standleyanum",3
41,"Astrocaryum.standleyanum",3
42,"Astrocaryum.standleyanum",13
43,"Astrocaryum.standleyanum",1
44,"Astrocaryum.standleyanum",6
45,"Astrocaryum.standleyanum",1
46,"Astrocaryum.standleyanum",6
47,"Astrocaryum.standleyanum",5
48,"Astrocaryum.standleyanum",7
49,"Astrocaryum.standleyanum",4
50,"Astrocaryum.standleyanum",4
1,"Astronium.graveolens",6
3,"Astronium.graveolens",1
4,"Astronium.graveolens",3
6,"Astronium.graveolens",1
7,"Astronium.graveolens",2
8,"Astronium.graveolens",2
17,"Astronium.graveolens",2
21,"Astronium.graveolens",1
22,"Astronium.graveolens",2
26,"Astronium.graveolens",2
28,"Astronium.graveolens",1
29,"Astronium.graveolens",1
30,"Astronium.graveolens",1
31,"Astronium.graveolens",1
33,"Astronium.graveolens",1
34,"Astronium.graveolens",7
35,"Astronium.graveolens",1
39,"Astronium.graveolens",2
40,"Astronium.graveolens",1
46,"Astronium.graveolens",1
2,"Attalea.butyracea",1
6,"Attalea.butyracea",1
7,"Attalea.butyracea",1
13,"Attalea.butyracea",4
14,"Attalea.butyracea",4
16,"Attalea.butyracea",1
18,"Attalea.butyracea",2
21,"Attalea.butyracea",1
22,"Attalea.butyracea",1
23,"Attalea.butyracea",1
24,"Attalea.butyracea",1
25,"Attalea.butyracea",2
26,"Attalea.butyracea",2
27,"Attalea.butyracea",1
31,"Attalea.butyracea",2
38,"Attalea.butyracea",1
41,"Attalea.butyracea",1
42,"Attalea.butyracea",1
45,"Attalea.butyracea",1
46,"Attalea.butyracea",1
48,"Attalea.butyracea",2
49,"Attalea.butyracea",1
23,"Banara.guianensis",1
1,"Beilschmiedia.pendula",4
2,"Beilschmiedia.pendula",5
3,"Beilschmiedia.pendula",7
4,"Beilschmiedia.pendula",5
5,"Beilschmiedia.pendula",8
6,"Beilschmiedia.pendula",6
7,"Beilschmiedia.pendula",5
8,"Beilschmiedia.pendula",9
9,"Beilschmiedia.pendula",11
10,"Beilschmiedia.pendula",14
11,"Beilschmiedia.pendula",1
12,"Beilschmiedia.pendula",2
14,"Beilschmiedia.pendula",3
15,"Beilschmiedia.pendula",9
16,"Beilschmiedia.pendula",4
17,"Beilschmiedia.pendula",2
19,"Beilschmiedia.pendula",2
20,"Beilschmiedia.pendula",1
21,"Beilschmiedia.pendula",2
24,"Beilschmiedia.pendula",16
25,"Beilschmiedia.pendula",5
26,"Beilschmiedia.pendula",3
27,"Beilschmiedia.pendula",1
28,"Beilschmiedia.pendula",3
29,"Beilschmiedia.pendula",11
30,"Beilschmiedia.pendula",4
31,"Beilschmiedia.pendula",2
32,"Beilschmiedia.pendula",5
33,"Beilschmiedia.pendula",2
34,"Beilschmiedia.pendula",5
35,"Beilschmiedia.pendula",1
36,"Beilschmiedia.pendula",1
37,"Beilschmiedia.pendula",2
38,"Beilschmiedia.pendula",5
39,"Beilschmiedia.pendula",9
40,"Beilschmiedia.pendula",5
41,"Beilschmiedia.pendula",7
42,"Beilschmiedia.pendula",4
43,"Beilschmiedia.pendula",10
44,"Beilschmiedia.pendula",21
45,"Beilschmiedia.pendula",42
47,"Beilschmiedia.pendula",1
48,"Beilschmiedia.pendula",1
49,"Beilschmiedia.pendula",11
50,"Beilschmiedia.pendula",17
1,"Brosimum.alicastrum",5
2,"Brosimum.alicastrum",2
3,"Brosimum.alicastrum",4
4,"Brosimum.alicastrum",3
5,"Brosimum.alicastrum",2
6,"Brosimum.alicastrum",2
7,"Brosimum.alicastrum",6
8,"Brosimum.alicastrum",4
9,"Brosimum.alicastrum",3
10,"Brosimum.alicastrum",6
11,"Brosimum.alicastrum",5
12,"Brosimum.alicastrum",4
13,"Brosimum.alicastrum",2
14,"Brosimum.alicastrum",4
15,"Brosimum.alicastrum",3
16,"Brosimum.alicastrum",4
17,"Brosimum.alicastrum",5
19,"Brosimum.alicastrum",4
21,"Brosimum.alicastrum",2
22,"Brosimum.alicastrum",8
23,"Brosimum.alicastrum",2
24,"Brosimum.alicastrum",4
25,"Brosimum.alicastrum",5
26,"Brosimum.alicastrum",3
27,"Brosimum.alicastrum",5
28,"Brosimum.alicastrum",4
29,"Brosimum.alicastrum",2
30,"Brosimum.alicastrum",5
31,"Brosimum.alicastrum",2
32,"Brosimum.alicastrum",8
33,"Brosimum.alicastrum",3
34,"Brosimum.alicastrum",5
35,"Brosimum.alicastrum",1
36,"Brosimum.alicastrum",3
37,"Brosimum.alicastrum",4
38,"Brosimum.alicastrum",8
39,"Brosimum.alicastrum",5
40,"Brosimum.alicastrum",5
41,"Brosimum.alicastrum",6
42,"Brosimum.alicastrum",4
43,"Brosimum.alicastrum",2
44,"Brosimum.alicastrum",2
45,"Brosimum.alicastrum",2
46,"Brosimum.alicastrum",5
