Orden,Familia,Taxa,Rango_tax,Score
Hirudinea,,Hirudinea,Orden,3
Oligochaeta,,Oligochaeta,Orden,1
Gasteropoda,Ancylidae,Ancylidae,Familia,6
Gasteropoda,Physidae,Physidae,Familia,3
Gasteropoda,Limnaeidae,Limnaeidae,Familia,3
Gasteropoda,Planorbidae,Planorbidae,Familia,3
Amphipoda,Hyalellidae,Hyalellidae,Familia,8
Ephemeroptera,Baetidae,Baetidae,Familia,8
Ephemeroptera,Leptophlebiidae,Leptophlebiidae,Familia,10
Ephemeroptera,Leptohyphidae,Leptohyphidae,Familia,7
Ephemeroptera,Oligoneuridae,Oligoneuridae,Familia,10
Odonata,Aeshnidae,Aeshnidae,Familia,6
Odonata,Gomphidae,Gomphidae,Familia,10
Odonata,Libellulidae,Libellulidae,Familia,6
Odonata,Coenagrionidae,Coenagrionidae,Familia,6
Odonata,Calopterygidae,Calopterygidae,Familia,7
Odonata,Polythoridae,Polythoridae,Familia,10
Plecoptera,Perlidae,Perlidae,Familia,10
Heteroptera,Gerridae,Gerridae,Familia,3
Heteroptera,Corixidae,Corixidae,Familia,7
Heteroptera,Notonectidae,Notonectidae,Familia,5
Heteroptera,Belostomatidae,Belostomatidae,Familia,4
Heteroptera,Naucoridae,Naucoridae,Familia,4
Trichoptera,Helicopsychidae,Helicopsychidae,Familia,10
Trichoptera,Calamoceratidae,Calamoceratidae,Familia,10
Trichoptera,Odontoceridae,Odontoceridae,Familia,10
Trichoptera,Leptoceridae,Leptoceridae,Familia,8
Trichoptera,Polycentropodidae,Polycentropodidae,Familia,8
Trichoptera,Hydroptilidae,Hydroptilidae,Familia,8
Trichoptera,Xiphocentronidae,Xiphocentronidae,Familia,8
Trichoptera,Hydrobiosidae,Hydrobiosidae,Familia,8
Trichoptera,Glossosomatidae,Glossosomatidae,Familia,7
Trichoptera,Hydropsychidae,Hydropsychidae,Familia,5
Trichoptera,Philopotamidae,Philopotamidae,Familia,8
Lepidoptera,Pyralidae,Pyralidae,Familia,4
Coleoptera,Ptilodactylidae,Ptilodactylidae,Familia,10
Coleoptera,Lampyridae,Lampyridae,Familia,10
Coleoptera,Psephenidae,Psephenidae,Familia,10
Coleoptera,Scirtidae,Scirtidae,Familia,7
Coleoptera,Helodidae,Helodidae,Familia,7
Coleoptera,Staphylinidae,Staphylinidae,Familia,6
Coleoptera,Elmidae,Elmidae,Familia,6
Coleoptera,Dryopidae,Dryopidae,Familia,6
Coleoptera,Gyrinidae,Gyrinidae,Familia,3
Coleoptera,Hydrophilidae,Hydrophilidae,Familia,3
Diptera,Blepharoceridae,Blepharoceridae,Familia,10
Diptera,Simuliidae,Simuliidae,Familia,8
Diptera,Tabanidae,Tabanidae,Familia,4
Diptera,Tipulidae,Tipulidae,Familia,4
Diptera,Ceratopogonidae,Ceratopogonidae,Familia,4
Diptera,Psychodidae,Psychodidae,Familia,4
Diptera,Dolichopodidae,Dolichopodidae,Familia,4
Diptera,Stratiomyidae,Stratiomyidae,Familia,4
Diptera,Empididae,Empididae,Familia,4
Diptera,Chironomidae,Chironomidae,Familia,2
Diptera,Culicidae,Culicidae,Familia,2
Diptera,Muscidae,Muscidae,Familia,2
