,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
1,0,0,1,0,0,0,0,0,0,0,0,0
2,0,0,3,6,0,0,0,1,0,0,2,0
3,0,0,1,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,7,0,0,0,0,0
5,0,0,0,2,0,0,1,0,0,0,0,0
6,2,8,15,9,0,0,0,0,2,4,19,4
7,0,0,0,0,0,0,0,0,0,1,0,0
8,0,0,11,9,0,0,0,0,1,1,0,0
9,0,0,3,2,19,0,19,0,72,11,0,0
10,0,0,0,24,166,0,4,15,0,0,0,0
11,1,56,38,13,0,0,0,1,9,34,1,1
12,0,0,0,0,0,0,0,0,0,0,1,0
13,0,6,2,0,1,0,0,0,0,0,2,2
14,0,6,33,69,0,0,0,1,4,5,0,0
15,0,1,3,1,0,0,0,0,1,0,0,0
16,0,4,10,1,1,0,0,0,0,1,0,0
17,1,0,1,0,0,0,0,0,0,0,0,0
18,0,6,33,44,50,0,0,9,3,20,0,0
19,0,0,1,2,738,4,219,33,0,0,0,0
20,0,23,730,1048,1420,0,411,355,24,0,0,1
21,0,0,0,0,0,0,0,0,0,0,0,1
22,1,0,0,0,0,0,0,0,0,1,0,0
23,0,0,0,2,1,0,0,1,5,0,0,0
24,0,0,0,1,2,0,0,0,0,0,0,0
25,0,1,3,6,2,0,0,0,5,0,0,0
26,0,0,3,0,2,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,7,0,0
28,0,3,19,0,2,0,0,1,2,3,1,2
29,0,2,6,8,0,0,0,0,4,1,2,0
30,0,0,0,2,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,1,0,0,0,0
32,0,1,1,1,2,0,0,1,0,0,0,1
33,0,0,0,2,6,0,2,0,0,0,0,0
34,0,0,0,0,0,0,0,0,1,0,0,0
35,0,2,2,5,0,0,0,2,1,0,0,0
36,0,1,1,1,0,0,0,0,0,2,0,0
37,0,0,0,0,1,0,0,0,0,0,0,1
38,0,0,0,0,1,0,0,0,0,1,0,0
39,0,1,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,1,0,0,0,0
41,0,0,0,0,0,0,0,0,12,0,0,0
42,1,0,0,0,0,0,0,0,0,0,1,3
43,0,0,0,0,0,0,0,0,0,1,0,0
44,5,1,8,5,0,0,0,0,2,1,6,1
45,0,0,0,0,0,0,0,0,0,3,0,0
46,0,0,0,0,0,0,0,0,1,1,0,0
47,1,4,22,6,21,0,1,0,1,3,8,6
48,0,0,5,6,0,0,0,0,0,7,0,0
49,0,0,0,0,1,0,0,0,0,0,0,0
50,1,0,0,3,47,76,7330,1673,0,0,1,0
51,0,0,3,0,0,0,0,9,0,0,0,0
52,1,2,27,33,0,0,0,7,2,0,0,1
53,1,1,0,2,0,0,0,0,0,0,0,0
54,0,1,4,0,0,0,0,0,0,0,0,0
55,0,2,0,0,0,0,0,0,0,1,0,0
56,1,0,14,11,328,250,329,108,0,0,0,0
57,0,0,0,1,0,0,0,0,0,0,0,0
58,0,0,0,1,0,0,0,0,1,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,1
60,0,0,0,0,0,0,0,1,0,0,0,0
61,0,0,1,0,0,0,0,0,0,0,1,0
62,6,9,5,8,0,0,0,0,0,4,2,6
63,36,20,7,9,0,0,0,0,0,12,10,4
64,0,4,6,91,47,0,0,13,21,2,2,0
65,0,0,1,1,0,0,0,0,0,1,0,0
66,0,0,0,0,0,0,0,5,23,2,1,0
67,4,3,3,12,0,0,0,2,0,0,0,1
68,0,0,0,0,0,0,0,2,0,1,0,0
69,0,0,0,1,0,0,0,0,0,0,0,0
70,0,0,0,0,2,0,0,0,0,0,0,0
71,1,6,6,5,1,0,0,0,0,3,2,5
72,0,0,0,0,0,0,0,0,1,0,0,0
73,0,0,1,0,0,0,0,0,0,0,0,0
74,0,0,1,0,0,0,0,0,0,1,1,0
75,2,4,1,1,0,0,0,0,0,1,0,3
76,1,5,2,0,0,0,0,0,1,2,1,1
77,0,0,0,0,0,0,0,0,0,1,0,0
78,0,0,0,2,0,0,0,0,1,0,0,0
79,0,0,0,0,0,0,0,0,0,5,0,0
80,0,0,0,0,0,0,0,0,0,2,0,0
81,0,0,2,2,2,0,0,0,0,0,0,0
82,1,0,0,2,2,0,0,0,3,0,1,1
83,0,0,1,0,2,0,4,0,0,0,1,0
84,0,0,1,0,0,0,0,0,0,0,1,0
