,H2R1,H2R2,H2R3,H2R4,H3R1,H3R2,H3R3,H3R4,H4R1,H4R2,H4R3,H4R4,H5R1,H5R2,H5R3,H5R4,H6R1,H6R2,H6R3,H6R4,H7R1,H7R2,H7R3,H7R4
Cossura soyeri,10,13,4,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,13,2
Loimia viridis,5,1,1,5,0,1,2,1,0,0,0,3,2,0,0,0,10,10,5,10,2,2,7,10
Capitellidae,3,6,23,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eurythoe sp.,1,1,4,1,0,2,0,2,0,0,0,2,0,0,0,2,0,0,1,0,0,1,0,0
Marphysa sp.,0,1,1,2,1,0,1,0,0,1,2,1,0,0,0,1,0,0,0,0,0,1,1,1
Aricidea sp.,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
Mediomastus c.f. californiensis,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syllidae,0,0,1,0,1,0,0,1,1,0,1,1,68,56,20,66,1,0,0,0,1,0,2,0
Cirratulidae,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Notomastus sp.,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Dorvilleidae,0,0,2,0,0,0,0,0,0,0,1,0,9,30,21,6,0,0,0,0,0,0,1,0
Prionospio sp.,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anodontia philippiana ?,11,6,1,6,13,6,13,18,10,9,17,18,0,0,0,0,3,9,5,3,8,2,10,2
Codakia orbicularis ?,5,3,3,7,41,99,144,309,185,100,200,220,268,88,112,220,3,0,1,2,0,0,1,1
Tagelus divisus,1,2,0,2,1,1,0,1,3,1,3,2,14,3,0,7,0,2,1,1,1,0,0,1
Tellina radiata ?,2,0,0,1,0,3,2,2,1,0,1,0,4,0,1,2,0,0,0,0,0,0,0,0
Ultriculastra canaliculata,1,0,0,0,0,0,1,3,5,9,31,20,0,1,0,2,0,0,0,0,0,0,0,0
Alpheopsis labis,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tisbe sp.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesacanthion sp.,8,6,3,16,0,0,0,1,0,0,0,2,19,14,4,12,0,0,0,0,0,0,0,0
Tharyx sp.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lumbrineris inflata,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Codakia c.f. costata,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
