Species,Genus,Family,Order,Superorder,Subclass
Achimill,Achillea,Asteraceae,Asterales,Asteranae,Magnoliidae
Agrostol,Agrostis,Poaceae,Poales,Lilianae,Magnoliidae
Airaprae,Aira,Poaceae,Poales,Lilianae,Magnoliidae
Alopgeni,Alopecurus,Poaceae,Poales,Lilianae,Magnoliidae
Anthodor,Anthoxanthum,Poaceae,Poales,Lilianae,Magnoliidae
Bellpere,Bellis,Asteraceae,Asterales,Asteranae,Magnoliidae
Bromhord,Bromus,Poaceae,Poales,Lilianae,Magnoliidae
Chenalbu,Chenopodium,Amaranthaceae,Caryophyllales,Caryophyllanae,Magnoliidae
Cirsarve,Cirsium,Asteraceae,Asterales,Asteranae,Magnoliidae
Comapalu,Comarum,Rosaceae,Rosales,Rosanae,Magnoliidae
Eleopalu,Eleocharis,Cyperaceae,Poales,Lilianae,Magnoliidae
Elymrepe,Elymus,Poaceae,Poales,Lilianae,Magnoliidae
Empenigr,Empetrum,Ericaceae,Ericales,Asteranae,Magnoliidae
Hyporadi,Hypochaeris,Asteraceae,Asterales,Asteranae,Magnoliidae
Juncarti,Juncus,Juncaceae,Poales,Lilianae,Magnoliidae
Juncbufo,Juncus,Juncaceae,Poales,Lilianae,Magnoliidae
Lolipere,Lolium,Poaceae,Poales,Lilianae,Magnoliidae
Planlanc,Plantago,Plantaginaceae,Lamiales,Asteranae,Magnoliidae
Poaprat,Poa,Poaceae,Poales,Lilianae,Magnoliidae
Poatriv,Poa,Poaceae,Poales,Lilianae,Magnoliidae
Ranuflam,Ranunculus,Ranunculaceae,Ranunculales,Ranunculanae,Magnoliidae
Rumeacet,Rumex,Polygonaceae,Caryophyllales,Caryophyllanae,Magnoliidae
Sagiproc,Sagina,Caryophyllaceae,Caryophyllales,Caryophyllanae,Magnoliidae
Salirepe,Salix,Salicaceae,Malpighiales,Rosanae,Magnoliidae
Scorautu,Scorzoneroides,Asteraceae,Asterales,Asteranae,Magnoliidae
Trifprat,Trifolium,Fabaceae,Fabales,Rosanae,Magnoliidae
Trifrepe,Trifolium,Fabaceae,Fabales,Rosanae,Magnoliidae
Vicilath,Vicia,Fabaceae,Fabales,Rosanae,Magnoliidae
Bracruta,Brachythecium,Brachytheciaceae,Hypnales,Bryanae,Bryidae
Callcusp,Calliergonella,Hypnaceae,Hypnales,Bryanae,Bryidae
